"venuid","name","capacity","price_per_day","description"
0001,"The Hall",100,20000,"Red themed.Good for night parties for youngsters."
0002,"Golden Hall",500,25000,"Themes can be changed as per the customers requirements.Default is with white theme. Good for weddings."
0003,"Auditorium",2000,100000,"Good for small scale events like like concerts/farewell/reunions etc. "
0004,"Large Auditorium",5000,300000,"Good for medium scale events like like concerts/large gatherings  etc."
0005,"Sapphire Hall",600,40000,"This is the definition of indore Luxury."
0006,"Topaz Lawns",1000,40000,"Good for large marriage events such reception and for new years party as well as one can see the fireworks quite clearly from."
0007,"Ruby Room",50,10000,"Good for small conferences as well as for small meetings and for parties with close friends.(Themes can be changed as per requirement.)"
0008,"Large Ruby Room",100,20000,"Good for medium level office conferences and training programs."
0009,"Outdoor Stadium",50000,1000000,"Good for large scale rock-concerts/political-rallies/sports-programs."
0010,"Emerald Greens",1000,100000,"Enjoy your event in natures lap. Can be used form weddings as well as for partying in isolation."
